Dirección,Precio USD,Terreno m2
Chacabuco 2300,600.000ARS,300
José María Gutiérrez 1700,650.000ARS,200
Eva Peron 2400,5.500,136
Calle 10 Loteo Costa Azul S/N,6.500.000ARS,200
Uruguay 3600,5.800,136
Rivadavia 3100,6.000,136
Eva Peron 2400,6.300,200
Catamarca 2200,9.000,600
Eva Perón 2400,9.000,600
San Jeronimo 1800,9.000,286
Calle Las Urracas S/N,9.000,442.86
Calle Las Urracas S/N,9.000,335
Lavaisse 3100,9.000,902
Calle 57 S/N,9.000,457.5
Calle 29 S/N,9.000,203
1 de Mayo 3200,9.000,200
Calle 47 S/N,9.500,250
Ruta Provincial 1 S/N,9.500,600
San Jerónimo 2600,10.500,328
Carlos Montenegro S/N,10.500,225
Uruguay 3100,11.000,234
3 de Febrero 3400,11.000,675
Hipólito Irigoyen 2700,11.000,675
Hipolito Irigoyen 3100,11.000,205
San Jerónimo 2000,11.000,309.5
3 de Febrero 3400,11.500,250
25 de Mayo 2900,11.700,240
Ruta Provincial 1 100,11.900,326
Ruta Provincial 1 100,11.900,200
9 de Julio 3300,12.000,300
San Lorenzo 2700,12.000,326
Urquiza 1700,12.000,200
Mosconi S/N,12.000,240
Calle 14 Entre 45 y 47 S/N,12.000,250
Calle Desconocida  S/N,12.000,310
Calle 18 S/n S/N,12.000,312
Juan de Garay 2900,12.000,367
Lehmann S/N,12.000,493
9 de Julio 2000,12.500,328.4
Velez Sarfield 3400,12.500,675
Lote 1 - Sauce Viejo - Calle 47 y 16 S/N,12.500,282
Rivadavia 2700,12.500,675
Calle 0,12.500,468
Ruta Nacional 11 S/N,12.500,576
J. Doldán 5900,13.000,78
Calle 19 S/N,13.000,468
Ruta Provincial 1 100,13.500,675
Mahatma Ghandi 1700,13.500,480
Corrientes 2400,13.900,271
Estados Unidos S/N,14.000,200
Juan Jose Paso 1200,14.000,576
Surubi 900,14.000,319
Urquiza 3000,14.000,300
Estados Unidos S/N,14.000,200
Las Acacias S/N,14.000,513
Saavedra 2000,14.000,339
Saavedra 2700,14.000,200
Crucero Belgrano S/N,14.000,3940
Gorostiaga 2100,15.000,200
Pasaje Rosario 2100,15.000,250
Republica de Chile 4100,15.000,245
Rivadavia 2500,15.000,3940
Fo.na.vi. Centenario 0,15.000,253
Menchaca S/N,15.000,450
Obispo Gelabert 3800,15.000,444.6
Doctor Zavalla 2800,15.000,135
San Martin Galeria Florida Entre Boulevares Santa 2300,15.000,510.4
S/n S/N,15.000,300
Antonie de Saint-exupery S/N,15.000,275
Roque Sáenz Peña 1400,15.000,432
Manuel Dorrego Entre Libertad y General Belgrano S/N,15.000,437
Doctora Calle Grierson 8400,15.000,200
Luis Leon de los Santos S/N,15.000,250
Calle 63 2100,15.000,432
Ruta 11 Km 445 S/N,15.000,339.3
La Paz S/N,15.000,200
La Rioja 2400,15.500,902.705
9 de Julio 2000,15.500,200
Calle Desconocida  S/N,15.900,300
Dr. Angel Gallardo 100,16.000,432
Calle Pública S/n-sauce Viejo S/N,Solicitar precio,675
13 de Diciembre 4700,16.000,300
Avenida Mercedes Clucellas S/n S/N,16.000,432
Calle Pública S/n-sauce Viejo S/N,Solicitar precio,300
Calle José Pedroni 4800,16.000,232.28
Calle Pública S/n-sauce Viejo S/N,Solicitar precio,408
Avenida los Quinteros S/N,16.000,340
Chapeaurouge 1900,16.000,600
Calle Mejico 2000,16.000,151.225
Las Palmeras 0,16.000,271
Javier de la Rosa 3600,16.000,300
Calle Pública S/n Sauce Viejo S/N,Solicitar precio,915
9 de Julio 2200,16.000,533
Avenida Blas Parera 7300,16.000,288
Calle Pública S/n Sauce Viejo S/N,Solicitar precio,271
Calle Pública S/n-sauce Viejo S/N,Solicitar precio,300
Calle los Flamencos Arroyo Leyes S/N,16.200,555
Irigoyen Freyre 2200,16.500,459
10 de Junio 400,16.500,395
Ruta Provincial 2 S/N,16.500,675
Calle Nro.6 S/N,16.500,233
