Dirección,Precio USD,Terreno m2
Chacabuco 2300,600.000ARS,78
José María Gutiérrez 1700,650.000ARS,288
J. Doldán 5900,13.000,135
Carlos de la Peña 400,14.000,206
Libertad 3800 Manzana 4 Escalera 15 3800,14.000,377
Aguado 7400 Mbk 7 7400,15.000,200
Calle José Pedroni 6600,15.000,170
Fo.na.vi. Centenario 0,15.000,217
Roque Sáenz Peña 1400,15.000,132
Avenida Blas Parera 7300,16.000,432
Calle Hipólito Irigoyen 3900,20.000,280
Berutti 3500,21.000,237
"Santa Fe, Santa Fe 0",22.000,426
Entre Bvs 1000,22.000,202
Barrio el Pozo Torre Ii 0,Solicitar precio,330
Eva Perón 2200,22.000,163
Diagonal Cervera 6500,22.000,296
13 0,22.500,350.94
Córdoba 1400,23.000,191
9 de Julio 2200,23.000,128.67
Pasaje Alfonso 6400,23.000,280
Azcuénaga 5600,23.000,223
Regimiento 12 de Infantería 4500,23.000,162.4
Chiclana 8600,24.000,130
Juan Díaz de Solís 6500,25.000,198
Juan Lavalle 2100,25.000,280
Crespo 3500,25.000,162.4
Regis Martínez 3800,25.000,100.54
Azcuénaga 5400,25.000,225
Entre Boulevares 0,25.000,132
Pedro Centeno 3800,26.000,230
Pasaje Puerto Argentino 4300,26.000,145
Luis Leon de los Santos y Seguí 0,27.000,396
Saavedra 2000,27.000,203.02
Entre Bvs 1000,27.000,204.99
Diagonal Cervera 6700,27.000,169
Padre Genesio 1900,27.000,125
Urquiza 1000,27.000,256
Llerena 3500,27.000,432
Europa 10487 10400,28.500,199.9
Boulevard Gálvez 100,29.000,172
Boneo 3700,Solicitar precio,400
Calle Río Negro 6800,29.000,234
Zavalla 1800,29.000,200
Heroes de Malvinas 3800,30.000,284
Aristobulo del Valle 9200,Solicitar precio,181
Sarmiento 3300,30.000,200
Callee N 18 y Pasaje 45 Bis 3000,30.000,281
Balacarce - Monoblock V 0,30.000,204
Radio Constructivo Pilay 0,30.000,300
Domingo Silva 4000,30.000,367
Florencio Fernández 5900,30.000,149.67
12 de Septiembre 3800,30.000,203
Padre Genesio 1900,30.000,200
Monseñor Zazpe 3200,30.000,400
Los Chañares 300,32.000,203
Pje Luciano Leiva 7500,32.000,200
Pasaje Denis 7100,32.000,149.67
Pje.s/n 3900,32.000,198
Pje Koch 1100,32.000,121
José Quintana 2800,34.000,353
9 de Julio 2200,34.000,269.37
Entre Ríos 4700,34.000,432
Misiones 5800,34.000,164
Entre Boulevares 0,35.000,402
Calle 16 0,35.000,333
J J Paso 3800,35.000,600
Calle E 0,35.000,215
Monseñor Zaspe 3200,35.000,219.5
Lavalle 7300,35.000,353
Juan Díaz de Solís 3000,35.000,884.12
Corrientes 900,35.000,152
Corrientes 1100,35.000,600
J J Paso 3800,35.000,164
Juan Díaz de Solís 3000,35.000,402
Calle E 0,35.000,330
Servando Bayo 8500,35.000,126
Mendez 5600,35.000,302
Juan Lavalle 2100,35.000,52.01
Castelli 1900,36.000,118
Gaboto 1600,36.000,510
Monseñor Zazpe 3900,36.000,351
Dentro de los Boulevares 0,36.000,313
Dr Luis Agote 0,37.000,37.3
Juan José Paso 1100,37.000,185
Calle 16 3600,37.500,144
Gorostiaga 1600,38.000,29
Villegas 3100,Solicitar precio,265
Gaboto 1600,38.000,65
Doctor Zavalla 7100,38.000,600
Pasaje Alfonso 3000,38.000,63
Gorostiaga 1600,38.000,37.3
Villegas 3100,Solicitar precio,185
Los Pinos 500,38.000,222
Gaboto 1600,38.000,63
Marcial Candioti 5900,38.000,187
República de Siria 3500,38.000,244
Pasaje Barros 3300,39.000,948
11 de Marzo 5400,39.000,293
La Rioja 3300,39.000,220.42
Alberdi 6100,39.000,98
3 de Febrero 1600,39.000,176
Javier de la Rosa 1300,39.000,500
Laprida 200,39.000,206
San Lorenzo 5600,39.000,200
Grandoli 9500,39.000,173
Salta 2500,39.900,240
Presbitero Luis V.dusso 6600,40.000,108
Córdoba 1500,40.000,1361
Arroyo Leyes 100,40.000,135
Padre Catena 4000,40.000,380
Belgrano 4600,40.000,157.86
Velez Sarsfield 6400,Solicitar precio,254
"Calle los Zorzales, Barrio Cazadores 0",40.000,110
Juan Díaz de Solís 2400,40.000,304.25
La Rioja 2000,40.000,97
Pedro Zenteno 3600,Solicitar precio,263
Obispo Gelabert 3900,40.000,895
Juan Diaz de Solis 3000,40.000,480
Entre Rios 3600,40.000,200
Necochea 5900,40.000,881.33
Presbitero Luis V.dusso 6600,40.000,240
Santiago de Chile 1400,40.500,168
Las Acacias 10500,41.000,243
Almaraz 4800,41.500,432
Martín Zapata 2000,41.500,145
Calle 9 1900,Solicitar precio,322
Juan de Garay 3900,42.000,97
Pasaje Paraná 3800,42.000,205
Glisinas 0,42.000,335
Juan Larrea 2100,42.000,174
Derqui 2200,42.000,144.48
Vera Mujica 400,42.000,305
Alberti 3700,42.000,184
Alberdi 5500,42.000,190
Aguado 2200,42.000,220
Celia Ortiz de Montoya - Manzana 14 0,43.000,170
San Lorenzo 1000,43.000,78.1
Santiago de Chile 2400,43.000,120
D. French 4900,43.000,125
Matheu 1000,43.000,145
Vera Mujica 700,43.000,154.2
Roque Sáenz Peña 1800,43.000,120
Corrientes 1500,44.000,136
Calle Pública 100,Solicitar precio,200
Iturraspe 2400,44.500,167
San Martín 1800,44.500,116
Los Nogales 2600,45.000,230
Centenario 2500,45.000,292
9 de Julio 6800,45.000,341
Espora 3100,45.000,111
Las Heras 9400,45.000,675
Santa Rosa de Lima 0,45.000,238
Entre Boulevares. 0,45.000,200
Pavón 2600,45.000,217
Boulevard los Carolinos 3000,45.000,134
Obispo Gelabert 1800,45.000,231
Vélez Sarsfield 3600,45.000,214
Calle Desconocida  0,45.000,167
Los Nogales 2600,45.000,130
Alberdi 2000,45.000,70
Pedro Espinosa 100,45.000,134
Alberti 3500,45.000,357
Calle 16 0,Solicitar precio,230
Espora 3100,45.000,165
Obispo Gelabert 1800,45.000,60
Entre Boulevares. 0,45.000,231
Pasaje L. M. Drago 3600,45.000,395
1º de Mayo 5300,45.000,166
Zavalla 1900,45.000,116
Roverano 3100,45.000,270
Avenida Freyre 1700,45.000,118
Belgrano 4700,45.000,217
J Diaz de Solis 5800,Solicitar precio,336
Entre Bv 0,46.000,400
La Plata 3500,46.000,97
Gaboto 1400,46.000,115
Juan de Garay 3900,46.000,272
Bv 0,47.000,674
Pedro Vittori 3500,47.000,268
Calle Gozzarelli 5700,47.000,238
Velez Sarsfield 6700,47.000,143
Ituzaingo 900,47.000,380
Alfonsina Storni 2900,48.000,216
Calle Hipólito Irigoyen 2600,48.000,100
Obispo Boneo 3800,48.000,200
Ecuador 3700,48.000,107
San José 900,48.000,200
25 de Mayo 1200,48.000,181
Obispo Gelabert 1800,48.000,200
Saavedra 2400,48.000,314
Pje. Publico Sin Nombre 8800,48.000,450
Pasaje Arzamendia 5900,49.000,413
1º de Mayo 6800,Solicitar precio,61
Eva Peron 2200,49.000,217
Catamarca 3300,49.000,46.97
Artigas 3600,49.000,277
135 0,49.000,189
Calle Europa 6900,49.000,145
Autopista Rosario Santa Fe - Km 150. 0,49.000,175
Córdoba 1200,50.000,106
Centenera 4000,50.000,160
Moreno 3400,Solicitar precio,272
Pje. Calcuta 700,50.000,281
Uruguay 2700,50.000,131
O. Boneo 2600,50.000,432
Francisco Ponzio 300,50.000,175
Avenida General Paz 7300,50.000,131
Hipolito Irigoyen 2600,50.000,290
Espora 1800,50.000,112
Mitre 5700,50.000,150
Manzana 13 Vivienda 21  el Pozo 0,50.000,106
Alsina 4000,52.000,53.64
Necochea 6600,52.000,150
República de Siria 3700,52.000,112
Ángel Cassanello 3500,52.000,208
Castelli 1300,52.000,294.18
Monteagudo 4400,52.000,300
Avenida Juan José Paso 2900,52.000,195
Pasaje Arzamendia 5900,52.000,576
1 de Mayo 4500,52.000,433
Estanislao López 1300,Solicitar precio,300
Saavedra 1100,54.000,433
Pasaje Arzamendia 5900,54.000,300
