Dirección,Precio USD,Terreno m2
Eva Peron 2400,5500,136.0
Uruguay 3600,5800,136.0
Rivadavia 3100,6000,136.0
Eva Peron 2400,6300,200.0
Catamarca 2200,9000,600.0
Eva Perón 2400,9000,600.0
San Jeronimo 1800,9000,286.0
Calle Las Urracas S/N,9000,442.86
Calle Las Urracas S/N,9000,335.0
Lavaisse 3100,9000,902.0
Calle 57 S/N,9000,457.5
Calle 29 S/N,9000,203.0
1 de Mayo 3200,9000,200.0
Calle 47 S/N,9500,250.0
Ruta Provincial 1 S/N,9500,600.0
San Jerónimo 2600,10500,328.0
Carlos Montenegro S/N,10500,225.0
Uruguay 3100,11000,234.0
3 de Febrero 3400,11000,675.0
Hipólito Irigoyen 2700,11000,675.0
Hipolito Irigoyen 3100,11000,205.0
San Jerónimo 2000,11000,309.5
3 de Febrero 3400,11500,250.0
25 de Mayo 2900,11700,240.0
Ruta Provincial 1 100,11900,326.0
Ruta Provincial 1 100,11900,200.0
9 de Julio 3300,12000,300.0
San Lorenzo 2700,12000,326.0
Urquiza 1700,12000,200.0
Mosconi S/N,12000,240.0
Calle 14 Entre 45 y 47 S/N,12000,250.0
Calle Desconocida  S/N,12000,310.0
Calle 18 S/n S/N,12000,312.0
Juan de Garay 2900,12000,367.0
Lehmann S/N,12000,493.0
9 de Julio 2000,12500,328.4
Velez Sarfield 3400,12500,675.0
Lote 1 - Sauce Viejo - Calle 47 y 16 S/N,12500,282.0
Rivadavia 2700,12500,675.0
Calle 0,12500,468.0
Ruta Nacional 11 S/N,12500,576.0
J. Doldán 5900,13000,78.0
Calle 19 S/N,13000,468.0
Ruta Provincial 1 100,13500,675.0
Mahatma Ghandi 1700,13500,480.0
Corrientes 2400,13900,271.0
Estados Unidos S/N,14000,200.0
Juan Jose Paso 1200,14000,576.0
Surubi 900,14000,319.0
Urquiza 3000,14000,300.0
Estados Unidos S/N,14000,200.0
Las Acacias S/N,14000,513.0
Saavedra 2000,14000,339.0
Saavedra 2700,14000,200.0
Crucero Belgrano S/N,14000,3940.0
Gorostiaga 2100,15000,200.0
Pasaje Rosario 2100,15000,250.0
Republica de Chile 4100,15000,245.0
Rivadavia 2500,15000,3940.0
Fo.na.vi. Centenario 0,15000,253.0
Menchaca S/N,15000,450.0
Obispo Gelabert 3800,15000,444.6
Doctor Zavalla 2800,15000,135.0
San Martin Galeria Florida Entre Boulevares Santa 2300,15000,510.4
S/n S/N,15000,300.0
Antonie de Saint-exupery S/N,15000,275.0
Roque Sáenz Peña 1400,15000,432.0
Manuel Dorrego Entre Libertad y General Belgrano S/N,15000,437.0
Doctora Calle Grierson 8400,15000,200.0
Luis Leon de los Santos S/N,15000,250.0
Calle 63 2100,15000,432.0
Ruta 11 Km 445 S/N,15000,339.3
La Paz S/N,15000,200.0
La Rioja 2400,15500,902.705
9 de Julio 2000,15500,200.0
Calle Desconocida  S/N,15900,300.0
Dr. Angel Gallardo 100,16000,432.0
13 de Diciembre 4700,16000,300.0
Avenida Mercedes Clucellas S/n S/N,16000,432.0
Calle José Pedroni 4800,16000,232.28
Avenida los Quinteros S/N,16000,340.0
Chapeaurouge 1900,16000,600.0
Calle Mejico 2000,16000,151.225
Las Palmeras 0,16000,271.0
Javier de la Rosa 3600,16000,300.0
9 de Julio 2200,16000,533.0
Avenida Blas Parera 7300,16000,288.0
Calle los Flamencos Arroyo Leyes S/N,16200,555.0
Irigoyen Freyre 2200,16500,459.0
10 de Junio 400,16500,395.0
Ruta Provincial 2 S/N,16500,675.0
Calle Nro.6 S/N,16500,233.0
Presidente Perón S/N,16900,675.0
Pasaje Rodríguez 8000,17000,432.0
Ruta 1 Km 15 Lado Oeste (calle Quina) S/N,17000,206.0
Calle 63 S/N,17000,250.0
1º de Mayo 1000,17000,305.0
Servando Bayo 3000,17000,232.25
San Martín 1800,17000,300.0
Jj Paso 2500,17000,216.0
Alfonsina Storni y Alberdi S/N,17000,300.0
Avenida los Quinteros S/N,17000,300.0
Calle los Lapachos 3000,17000,678.0
Fonavi San Geronimo 0,18000,213.0
Rivadavia 3100,18000,619.37
Urquiza 2800,18000,270.0
Rivadavia 3100,18000,220.0
"Ruta 1 Km 3,5 0",18000,494.46
Ruta Nacional 11 S/N,18000,222.0
Rivadavia 3100,18000,300.0
Pública 40 S/N,18000,200.0
General Juan Jose Valle 5000,18000,200.0
Pasaje Boedo 4300,18000,715.38
Rivadavia 3100,18000,1000.0
Calle 18 y 45 S/N,18000,750.0
Agustin P. Justo y Ruta 11 S/N,18000,494.46
Ruta Nacional 11 S/N,18000,213.0
Rivadavia 3100,18000,395.0
Tomas Lubary Entre Fidela Valdez y J.g de Artigas S/N,18000,200.0
Juan de Garay S/N,18500,202.5
Santiago del Estero 3000,18500,200.0
Calle Sin Nombre - Mzna 9100,18500,200.0
Avenida los Quinteros S/N,18500,200.0
Necochea 3900,18600,800.0
Cafferata 8300,19000,170.0
Avenida los Quinteros S/N,19000,400.0
"Kilometro 12, 5 Arroyo Leyes S/N",19000,391.4
Pasaje Publico 5700,19000,132.0
Calle 1º de Enero 100,19000,217.0
J. Mantovani 6500,19000,260.0
Roverano 1900,19000,675.0
Santa Cruz 6100,19500,882.49
El Refugio S/N,19900,600.0
Fonavi Centenario Manz 0,20000,360.0
Av. del Inmigrante 0,20000,200.0
Dr. Ángel Gallardo 0,20000,670.0
San Martín 3600,20000,290.0
Monseñor Zazpe 2400,20000,532.0
Callejon Vega y Ruta 1 S/N,20000,625.0
Hipólito Irigoyen 2700,20000,300.0
Callejón Aguirre 5300,20000,240.3
San Martín 3600,20000,650.0
"Calle N° 74, Manzaza 33, Lote 15, Lagos del Leyes 0",20000,133.0
Calle Hipólito Irigoyen 3900,20000,260.0
Estados Unidos S/n S/N,20000,292.0
Suipacha 2700,20000,200.0
Dr. Ángel Gallardo S/N,20000,432.0
Javier de la Rosa 3800,20000,432.0
Santa Fe 100,20000,1875.0
Callejon Vidal 9900,20500,851.52
Callejon Vidal 9900,20500,889.14
Callejon Vidal 9900,20500,860.33
Callejon Vidal 9900,20500,832.0
Monseñor Zazpe 2400,20580,69.0
Sara Faisal Piso 2 Cochera 9 1800,20800,480.0
"Ruta Provincial 1, Km 16,5 S/N",21000,460.0
Canadá S/N,21000,459.52
Remedios de Escalada de San Martín 3500,21000,200.0
Dr. Ángel Gallardo S/N,21000,216.0
Pasaje Público 10400,21000,375.0
Luis Leon de los Santos 2500,21000,280.0
Berutti 3500,21000,525.0
Hipolito Irigoyen 2700,21000,450.0
Ruta 11 S/n S/N,21000,237.0
Rosaura Schweizer S/N,22000,208.0
Entre Bvs 1000,22000,21.0
Eva Perón 2200,22000,21.0
San Lorenzo 3000,22000,237.0
Diagonal Cervera 6500,22000,920.0
Entre Bvs 1000,22000,400.0
"Santa Fe, Santa Fe 0",22000,240.0
"Portal del Leyes, Lote 3, Mza L S/N",22000,400.0
Los Lapachos S/N,22000,426.0
Sara Faisal 1800,22065,281.5
Mauri 3100,22300,600.0
Laprade 3100,22400,250.0
Avenida General López 2800,22500,300.0
Avenida los Quinteros Loteo San Miguel I S/N,22500,202.0
La Rioja 3300,22500,825.0
Laprade S/N,23000,240.3
Doctor Zavalla 8100,23000,418.0
San Martín 3500,23000,250.0
San Martín 3500,23000,825.0
Avenida Lujan 4100,23000,600.0
Calle 62 S/N,23000,200.0
Boulevard los Pinos S/N,23000,163.0
Regimiento 12 de Infantería 4500,23000,202.0
Pje 40.5 S/N,23000,240.0
Azcuénaga 5600,23000,240.0
Córdoba 1400,23000,240.3
Boulevard Pellegrini 2800,23100,260.0
Laprade 3100,23400,240.0
Laprade 3100,23400,733.0
Maletti 3100,23400,400.0
Laprade 3100,23400,692.0
Los Domingos S/N,23500,525.0
Laprade 3100,23691,960.0
Maipú S/N,24000,208.0
Calle S/n Colastine 1000,24000,692.0
Mendoza 1500,24000,347.0
Calle G Carrasco 9700,24000,128.67
Praderas 0,24000,400.0
Aguado 1700,24000,191.0
Corrientes 4700,24000,432.0
Entre Rios 2200,24000,200.0
