Nombre,Precio USD,Dirección,M2 Totales,Ambientes,Baños,Tipo,Precio por m2,Rango de precio,Rango de superficie,Densidad ambientes
Remax vende casa de dos dormitorios en Santo Tomé!,41000,Batalla de San Lorenzo 4300,298.0,3.0,1.0,Casa,137.58389261744966,Muy bajo,Muy grande,0.010067114093959731
Se vende Galpón a metros de Aristobulo del Valle,40000,San Martin 7400,90.12,,1.0,Galpón,443.85264092321347,Muy bajo,Mediano,
Departamento  duplex  a metros de Av. Gral Paz.,45000,Hernandarias 900,46.0,2.0,1.0,Departamento,978.2608695652174,Muy bajo,Chico,0.043478260869565216
Venta Casa Excelente ubicacion en Zona Norte,38000,Larguia 7100,111.0,3.0,1.0,Casa,342.34234234234236,Muy bajo,Mediano,0.02702702702702703
Venta Propiedad,75000,Doctor Zavalla 1400,120.0,4.0,1.0,Otro,625.0,Bajo,Grande,0.03333333333333333
SE VENDE LOTE + DEPTO,36000,Falucho 4200,512.12,3.0,1.0,Departamento,70.29602436928845,Muy bajo,Muy grande,0.005858002030774037
A metros del Parque Sur: Hermoso PH con cochera.,95000,Cruz Roja Argentina 1600,77.65,4.0,1.0,Cochera,1223.4385061171924,Medio,Mediano,0.051513200257566
¡Tu nuevo hogar en Barrio Sur te está esperando!,185000,Cruz Roja Argentina 1600,213.65,4.0,1.0,Otro,865.9021764568218,Alto,Muy grande,0.01872220922068804
DPTO. 2 DORM 2 BAÑOS EN VENTA | ZONA FAC. CS. EC.,125000,San Jeronimo 1700,78.4,3.0,2.0,Departamento,1594.3877551020407,Medio,Mediano,0.038265306122448974
Venta Departamento 1 Dormitorio en Candioti Norte,68000,Cordoba 1200,46.0,2.0,1.0,Departamento,1478.2608695652175,Bajo,Chico,0.043478260869565216
Venta Departamento 2 Dorm a Estrenar!!!,180000,Av. Freyre 3100,78.81,3.0,1.0,Departamento,2283.9741149600304,Alto,Mediano,0.03806623524933384
SEMIPISO DE 1 DORMITORIO A UNA CUADRA DE BV. PELLE,150000,Velez Sarsfield 3300,48.32,4.0,1.0,Otro,3104.3046357615895,Alto,Chico,0.08278145695364239
Venta casa a refaccionar/demoler en el centro!,110000,Moreno 2400,167.0,3.0,1.0,Casa,658.6826347305389,Medio,Grande,0.017964071856287425
VENTA DE DEPARTAMENTO EN LIBERTAD 1200,56000,Libertad 1200,68.0,2.0,1.0,Departamento,823.5294117647059,Bajo,Mediano,0.029411764705882353
Venta Departamento PA de 2 dorm: AV Gral Paz 6100,65000,Avenida General Paz 6100,71.57,3.0,1.0,Departamento,908.201760514182,Bajo,Mediano,0.041917004331423785
Venta Salón Comercial Amplio en Av. Gral Paz 6100,65000,Avenida General Paz 6100,85.95,,1.0,Salón,756.2536358347876,Bajo,Mediano,
Venta Depto 2 Dormitorios en Bv. a Estrenar!!!,165000,Bv. Pellegrini 2900,77.0,3.0,1.0,Departamento,2142.8571428571427,Alto,Mediano,0.03896103896103896
Casa en Barrio Candioti Sur,200000,Velez Sarsfield 3300,138.0,5.0,1.0,Casa,1449.2753623188405,Alto,Grande,0.036231884057971016
Se vende departamento de 1 dormitorio - Santo Tome,39000,Rivadavia 1700,37.0,2.0,1.0,Departamento,1054.054054054054,Muy bajo,Chico,0.05405405405405406
DEPTO EN DESARROLLO DE 1 DORMITORIO,53500,Castelli 1400,42.0,2.0,1.0,Departamento,1273.8095238095239,Bajo,Chico,0.047619047619047616
DEPARTAMENTO 1 DORM,96000,25 de Mayo 2000,53.0,3.0,1.0,Departamento,1811.3207547169811,Medio,Chico,0.05660377358490566
TORRE NIZA CAM - DPTO 2 DORM. A ESTRENAR,150000,Francia 2400,77.0,3.0,2.0,Departamento,1948.051948051948,Alto,Mediano,0.03896103896103896
VENTA DPTO 1 D A ESTRENAR EN PORTAL AVENIDA DE CAM,123000,Av Freyre 3100,48.8,2.0,1.0,Departamento,2520.4918032786886,Medio,Chico,0.04098360655737705
VENTA DEPARTAMENTO 1 DORMITORIO Z/ PARQUE FEDERAL,50000,Pedro Zenteno 2300,37.0,2.0,1.0,Departamento,1351.3513513513512,Bajo,Chico,0.05405405405405406
DEPARTAMENTO 1 DORMITORIO,50000,Gobernador Freyre 4700,41.0,2.0,1.0,Departamento,1219.5121951219512,Bajo,Chico,0.04878048780487805
Se vende Departamento en el centro de la Ciudad.,69000,Belgrano 1700,120.0,6.0,1.0,Departamento,575.0,Bajo,Grande,0.05
GRAN OPORTUNIDAD EN SANTO TOMÉ,59000,Cifre 3100,611.8,6.0,2.0,Otro,96.43674403399804,Bajo,Muy grande,0.009807126511932005
Se Vende Casa a Terminar en Recreo SUR !!!,55000,San Juan S/n 1100,120.0,3.0,1.0,Casa,458.3333333333333,Bajo,Grande,0.025
AMARRAS CENTER IV SEMIPISO 19A C/VISTA RÍO 3 DORM,330000,Amarras Center 4 - Puerto Santa Fe - Sara Pinasco de Julierac 1700,141.0,5.0,2.0,Otro,2340.425531914894,Alto,Grande,0.03546099290780142
Se vende casa en Santo Tomé,95000,Balcarce 3300,361.0,4.0,1.0,Casa,263.1578947368421,Medio,Muy grande,0.0110803324099723
CASA EN BARRIO NORTE,50000,Lavalle 8100,173.0,3.0,1.0,Casa,289.01734104046244,Bajo,Grande,0.017341040462427744
VENTA DUPLEX 2 DORMITORIOS Y COCHERA,58000,Alberdi 2400,124.0,4.0,2.0,Cochera,467.741935483871,Bajo,Grande,0.03225806451612903
EDIFICIO A TERMINAR 6 DEPARTAMENTOS Y COCHERAS,350000,Mariano Comas 3300,500.46,,,Otro,699.3565919354195,Alto,Muy grande,
CASA QUINTA EN COUNTRY UBAJAY RUTA 1 RINCON,63000,Callejón Pintos 100,161.08,5.0,2.0,Casa,391.1100074497144,Bajo,Grande,0.031040476781723364
VENTA GALPÓN 836 m2 - OPORTUNIDAD de INVERSIÓN!,270000,Roque Sáenz Peña 1700,836.0,,2.0,Galpón,322.9665071770335,Alto,Muy grande,
Vendo Casa,48000,Calle Incieso y Mirlos 0,162.0,4.0,2.0,Casa,296.2962962962963,Muy bajo,Grande,0.024691358024691357
SE VENDE DEPARTAMENTO ZONA CENTRO 2 DORMITORIOS,95000,Suipacha 2600,64.0,3.0,1.0,Departamento,1484.375,Medio,Mediano,0.046875
"VENTA SALÓN, CASA, DEPARTAMENTO, GALPÓN.",110000,Estanislao Zeballos 2600,230.0,8.0,2.0,Departamento,478.2608695652174,Medio,Muy grande,0.034782608695652174
CASA EXCLUSIVA CON VISTA AL RIO EN COUNTRY UBAJAY,350000,Nautico Ubajay Country Club 0,285.0,6.0,1.0,Casa,1228.0701754385964,Alto,Muy grande,0.021052631578947368
VENTA DEPTO A ESTRENAR EDIFICIO DUOMO,112000,9 de Julio 2400,49.42,2.0,1.0,Departamento,2266.28895184136,Medio,Chico,0.04046944556859571
Departamento en VENTA. 2 Domitorios. Zona Centro,73000,1º de Mayo 2100,67.0,3.0,1.0,Departamento,1089.55223880597,Bajo,Mediano,0.04477611940298507
VENTA DPTO DE 1 DORMIT. Y BALCON EN CANDIOTI SUR,62960,Alberdi 3000,38.84,2.0,1.0,Departamento,1621.0092687950564,Bajo,Chico,0.051493305870236865
VENTA COCHERA EN CANDIOTI SUR,18000,Alberdi 3000,12.05,,,Cochera,1493.7759336099584,Muy bajo,Chico,
VENTA DPTO DE 1 DORMITORIO Y PATIO EN CANDIOTI SUR,79220,Alberdi 3000,39.38,2.0,1.0,Departamento,2011.6810563737936,Medio,Chico,0.05078720162519045
VENTA DPTO 4 DORMITORIOS MACROCENTRO STA FE,95000,Mendoza 3000,93.0,6.0,1.0,Departamento,1021.505376344086,Medio,Mediano,0.06451612903225806
VENTA CASA INTERNA,60000,Pasaje Marsengo 5200,105.0,6.0,1.0,Casa,571.4285714285714,Bajo,Mediano,0.05714285714285714
"DEPARTAMENTO 3 DORMITORIOS, CENTRO DE SANTA FE",95000,25 de Mayo 2200,112.0,5.0,2.0,Departamento,848.2142857142857,Medio,Mediano,0.044642857142857144
Se vende casa céntrica a metros de la peatonal,450000,Gobernador Crespo 2600,427.0,15.0,3.0,Casa,1053.864168618267,Alto,Muy grande,0.0351288056206089
VENTA DEPARTAMENTO SOBRE BOULEVAR UN DORMITORIO,120000,Boulevard Pellegrini 2700,44.0,2.0,1.0,Departamento,2727.2727272727275,Medio,Chico,0.045454545454545456
DPTO DUPLEX DOS DORMITORIOS Y TERRAZA EN GUADALUPE,83000,Piedras 7000,79.0,3.0,1.0,Departamento,1050.632911392405,Medio,Mediano,0.0379746835443038
Venta de departamentos en PHU2 – San Jerónimo 3133,79000,San Jerónimo 3100,85.0,4.0,2.0,Otro,929.4117647058823,Medio,Mediano,0.047058823529411764
VENTA - GALPON EN EXCELENTE ESTADO - SANTA FE,158000,Amenábar 3600,293.0,,1.0,Galpón,539.2491467576792,Alto,Muy grande,
Casa en venta 2 dormitorios mas monoambiente,55000,San Lorenzo 7800,174.0,6.0,2.0,Casa,316.0919540229885,Bajo,Grande,0.034482758620689655
VENTA CASA A REFACCIONAR /COCHERA B. FOMENTO 9 JUL,72000,Urquiza 4600,155.0,4.0,1.0,Casa,464.51612903225805,Bajo,Grande,0.025806451612903226
Departamento 1 Dorm. PB con Jardín zona centro,72500,9 de Julio 2700,44.81,2.0,1.0,Departamento,1617.9424235661681,Bajo,Chico,0.04463289444320464
Departamento 2 Dorm.   1er piso en zona centro,98000,9 de Julio 2700,56.6,3.0,1.0,Departamento,1731.4487632508833,Medio,Chico,0.053003533568904596
Departamento 2 Dorm. PB con Jardín - zona centro,110000,9 de Julio 2700,79.46,3.0,1.0,Departamento,1384.344324188271,Medio,Mediano,0.03775484520513466
Local Comercial sobre calle Dr. Zavalla,155000,Dr. Zavalla 1300,210.0,,2.0,Local,738.0952380952381,Alto,Muy grande,
Cochera en San Jerónimo 2646,8500,San Jerónimo 2600,12.12,,,Cochera,701.3201320132014,Muy bajo,Chico,
VENTA INTERNO SGTO CABRAL 1447 A REFACCIONAR,62000,Sargento Cabral 1400,131.0,4.0,1.0,Otro,473.2824427480916,Bajo,Grande,0.030534351145038167
VENTA CASA A TERMINAR EN ARROYO LEYES A MTS RUTA,45000,Calle 56 0,66.0,3.0,1.0,Casa,681.8181818181819,Muy bajo,Mediano,0.045454545454545456
Casa Duplex 2 Dorm. c/2 Cocheras Guadalupe,90000,Avenida French 300,110.0,4.0,2.0,Casa,818.1818181818181,Medio,Mediano,0.03636363636363636
DPTO 1 DORM/PATIO MARIA SELVA ENTREGA/FINANCIACION,62000,Castelli 1400,55.0,2.0,1.0,Departamento,1127.2727272727273,Bajo,Chico,0.03636363636363636
VENTA QUINTA 2 DORMITORIOS Y PILETA EN LAS PALTAS,92000,Las Fresias 5700,537.0,4.0,1.0,Quinta,171.3221601489758,Medio,Muy grande,0.0074487895716946
SE VENDE HERMOSA CASA EN CLUB NAUTICO UBAJAY,330000,"Ruta 1- Km 9,5 3100",402.3,6.0,3.0,Casa,820.283370618941,Alto,Muy grande,0.014914243102162566
"Casa 3 Dormitorios, 2 Coch., Barrio Mariano Comas",64000,Pasaje L. M. Drago 3600,154.0,7.0,2.0,Casa,415.5844155844156,Bajo,Grande,0.045454545454545456
DEPTO. DE 1 DORM. Y BALCÓN AL CONTRAFRENTE,56000,Iturraspe 2000,37.0,2.0,1.0,Departamento,1513.5135135135135,Bajo,Chico,0.05405405405405406
SE VENDE O PERMUTA CASA EN BARRIO CIUDADELA,55000,Doctor Zavalla 5500,145.0,4.0,1.0,Casa,379.3103448275862,Bajo,Grande,0.027586206896551724
DPTO 2 DORMIT.CAM A ESTRENAR  BV. PELLEGRINI 2947,160000,Boulevard Pellegrini 2900,79.0,3.0,2.0,Departamento,2025.3164556962026,Alto,Mediano,0.0379746835443038
IMPORTANTE GALPON Y 4 DEPTOS-A LA VENTA,120000,Bv Lehmann y Vias F.f.c.c Manuel Belgrano 900,617.94,,4.0,Galpón,194.19361103019708,Medio,Muy grande,
VENTA DPTO 2 DORMI Y COCHERA - PLAZA PUEYRREDON,190000,Alberdi 3400,75.0,3.0,2.0,Departamento,2533.3333333333335,Alto,Mediano,0.04
VENTA CASA EN ARROYO LEYES,65000,"Ruta 1 Km 16,2 - Manzana 2 0",656.0,4.0,2.0,Casa,99.08536585365853,Bajo,Muy grande,0.006097560975609756
Departamento 2 dormitorios con cochera en venta,110000,Suipacha 2800,62.76,3.0,1.0,Departamento,1752.708731676227,Medio,Mediano,0.04780114722753346
Casa Quinta 3 dorm en Colastiné,280000,Los Urunday 6400,1566.0,5.0,4.0,Casa,178.79948914431674,Alto,Muy grande,0.0031928480204342275
